collection,filename,page numbers,pages in document,main title,sub title,alt title,descriptive title,author,publication,volume,issue/number,date (month.day/season),year,publisher,publisher location,subjects
britishj,fla-ches-jjw1-0001-001.tif,128,128,THE NEW BOOKS,Chestertonian History,,,,The Independent,93,,01.00,,,,G. K. Chesterton
britishj,fla-ches-jjw1-0002-001.tif,256,256,THE NEW BOOKS,Chsterton as Rebel,,,,The Independent,92,,11.00,,,,G. K. Chesterton
britishj,fla-ches-jjw1-0003-001.tif,100,100,"Writing ""Finis"" to Decadence",,,,"Chesterton, G. K.",The Independent,89,,,,,,G. K. Chesterton
britishj,fla-ches-jjw1-0004-001.tif,349,349-352,The Poet Chesterton,,,,"Slosson, Edwin E.",The Independent,88,,11.27,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0004-002.tif,350,349-352,The Poet Chesterton,,,,"Slosson, Edwin E.",The Independent,88,,11.27,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0004-003.tif,351,349-352,The Poet Chesterton,,,,"Slosson, Edwin E.",The Independent,88,,11.27,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0004-004.tif,352,349-352,The Poet Chesterton,,,,"Slosson, Edwin E.",The Independent,88,,11.27,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0005-001.tif,390,390-392,THE NEW BOOKS,CHESTERTONIAN HISTORY,,,,The Independent,85,,03.13,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0005-002.tif,391,390-392,THE NEW BOOKS,CHESTERTONIAN HISTORY,,,,The Independent,85,,03.13,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0005-003.tif,392,390-392,THE NEW BOOKS,CHESTERTONIAN HISTORY,,,,The Independent,85,,03.13,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0006-001.tif,25,25,,,,,,The Dial,60,,01.06,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0007-001.tif,460,460-461,THE STRANGE CASE OF MR. CHESTERTON,,,,"Donlin, George Bernard",The Dial,61,,11.30,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0007-002.tif,461,460-461,THE STRANGE CASE OF MR. CHESTERTON,,,,"Donlin, George Bernard",The Dial,61,,11.30,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0008-001.tif,25,25-27,Sancho Panza on His Island,,,,"Sapir, Edward",The Dial,64,,01.03,1918,,,G. K. Chesterton
britishj,fla-ches-jjw1-0008-002.tif,26,25-27,Sancho Panza on His Island,,,,"Sapir, Edward",The Dial,64,,01.03,1918,,,G. K. Chesterton
britishj,fla-ches-jjw1-0008-003.tif,27,25-27,Sancho Panza on His Island,,,,"Sapir, Edward",The Dial,64,,01.03,1918,,,G. K. Chesterton
britishj,fla-ches-jjw1-0009-001.tif,65,65-67,Mr. Chesterton's England,,,,"Hack, R. K.",The Dial,64,,01.17,1918,,,G. K. Chesterton
britishj,fla-ches-jjw1-0009-002.tif,66,65-67,Mr. Chesterton's England,,,,"Hack, R. K.",The Dial,64,,01.17,1918,,,G. K. Chesterton
britishj,fla-ches-jjw1-0009-003.tif,67,65-67,Mr. Chesterton's England,,,,"Hack, R. K.",The Dial,64,,01.17,1918,,,G. K. Chesterton
britishj,fla-ches-jjw1-0010-001.tif,26,26,DRAFTING CHESTERTON,,,,,The Literary Digest,58,,04.20,1918,,,G. K. Chesterton
britishj,fla-ches-jjw1-0011-001.tif,27,27-28,CHESTERTON ON THE FOURTH OF JULY,,,,,The Literary Digest,58,,09.14,1918,,,G. K. Chesterton
britishj,fla-ches-jjw1-0011-002.tif,28,27-28,CHESTERTON ON THE FOURTH OF JULY,,,,,The Literary Digest,58,,09.14,1918,,,G. K. Chesterton
britishj,fla-ches-jjw1-0012-001.tif,35,35-36,IS IT WRONG TO HATE THE GERMAN?,,,,,The Literary Digest,57,,04.20,1918,,,G. K. Chesterton
britishj,fla-ches-jjw1-0012-002.tif,36,35-36,IS IT WRONG TO HATE THE GERMAN?,,,,,The Literary Digest,57,,04.20,1918,,,G. K. Chesterton
britishj,fla-ches-jjw1-0013-001.tif,239,239,,,,,,The Literary Digest,54,,02.03,1917,,,G. K. Chesterton
britishj,fla-ches-jjw1-0014-001.tif,1410,1410,LETTERS AND ART,OURSELVES AS POSTERITY,,,,The Literary Digest,54,,05.12,1917,,,G. K. Chesterton
britishj,fla-ches-jjw1-0015-001.tif,1840,1840-1841,WHAT ENGLAND THINKS OF US,,,,,The Literary Digest,54,,06.16,1917,,,G. K. Chesterton
britishj,fla-ches-jjw1-0015-002.tif,1841,1840-1841,WHAT ENGLAND THINKS OF US,,,,,The Literary Digest,54,,06.16,1917,,,G. K. Chesterton
britishj,fla-ches-jjw1-0016-001.tif,123,123,"""PEACE WITH A SWORD""",,,,,The Literary Digest,52,,01.15,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0017-001.tif,564,564,,,,,,The Literary Digest,50,,03.13,1915,,,G. K. Chesterton
britishj,fla-ches-jjw1-0018-001.tif,564,564,THE HOLY OF HOLIES,,,,"Chesterton, G. K.",The Literary Digest,50,,03.13,1915,,,G. K. Chesterton
britishj,fla-ches-jjw1-0019-001.tif,564,564,GOLD LEAVES,,,,"Chesterton, G. K.",The Literary Digest,50,,03.13,1915,,,G. K. Chesterton
britishj,fla-ches-jjw1-0020-001.tif,564,564,A CHRISTMAS CAROL,,,,"Chesterton, G. K.",The Literary Digest,50,,03.13,1915,,,G. K. Chesterton
britishj,fla-ches-jjw1-0021-001.tif,666,666,LEST WE FORGET BELGIUM,,,,,The Literary Digest,51,,09.25,1915,,,G. K. Chesterton
britishj,fla-ches-jjw1-0022-001.tif,838,838,LETTERS AND ART,HINDENBURG IN WOOD AND IRON,,,,The Literary Digest,51,,10.16,1915,,,G. K. Chesterton
britishj,fla-ches-jjw1-0023-001.tif,854,854,CURRENT POETRY,,,,"Chesterton, G. K.",The Literary Digest,51,,10.16,1915,,,G. K. Chesterton
britishj,fla-ches-jjw1-0024-001.tif,854,854,CURRENT POETRY,THE HOUSE OF CHRISTMAS,,,"Chesterton, G. K.",The Literary Digest,51,,10.16,1915,,,G. K. Chesterton
britishj,fla-ches-jjw1-0025-001.tif,854,854,CURRENT POETRY,BLESSED ARE THE PEACEMAKERS,,,"Chesterton, G. K.",The Literary Digest,51,,10.16,1915,,,G. K. Chesterton
britishj,fla-ches-jjw1-0026-001.tif,854,854,CURRENT POETRY,MUSIC,,,"Chesterton, G. K.",The Literary Digest,51,,10.16,1915,,,G. K. Chesterton
britishj,fla-ches-jjw1-0027-001.tif,1217,1217,AIR-RAIDS AND REVENGE,,,,,The Literary Digest,51,,11.27,1915,,,G. K. Chesterton
britishj,fla-ches-jjw1-0028-001.tif,373,373-376,THE AGE OF THE SHAMELESS,,,,"Chesterton, G. K.",Living Age,287,,11.06,1915,,,G. K. Chesterton
britishj,fla-ches-jjw1-0028-002.tif,374,373-376,THE AGE OF THE SHAMELESS,,,,"Chesterton, G. K.",Living Age,287,,11.06,1915,,,G. K. Chesterton
britishj,fla-ches-jjw1-0028-003.tif,375,373-376,THE AGE OF THE SHAMELESS,,,,"Chesterton, G. K.",Living Age,287,,11.06,1915,,,G. K. Chesterton
britishj,fla-ches-jjw1-0028-004.tif,376,373-376,THE AGE OF THE SHAMELESS,,,,"Chesterton, G. K.",Living Age,287,,11.06,1915,,,G. K. Chesterton
britishj,fla-ches-jjw1-0029-001.tif,112,112-114,THE TWO AMATEURS,,,,"Chesterton, G. K.",Living Age,288,,01.08,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0029-002.tif,113,112-114,THE TWO AMATEURS,,,,"Chesterton, G. K.",Living Age,288,,01.08,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0029-003.tif,114,112-114,THE TWO AMATEURS,,,,"Chesterton, G. K.",Living Age,288,,01.08,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0030-001.tif,314,314-316,G. K. C. AS POET: AN APPRECIATION,,,,"Ford, Gertrude S.",Living Age,288,,01.29,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0030-002.tif,315,314-316,G. K. C. AS POET: AN APPRECIATION,,,,"Ford, Gertrude S.",Living Age,288,,01.29,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0030-003.tif,316,314-316,G. K. C. AS POET: AN APPRECIATION,,,,"Ford, Gertrude S.",Living Age,288,,01.29,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0031-001.tif,179,179-181,THE CRUSADE OF CRIPPLES,,,,"Chesterton, G. K.",Living Age,290,,07.15,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0031-002.tif,180,179-181,THE CRUSADE OF CRIPPLES,,,,"Chesterton, G. K.",Living Age,290,,07.15,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0031-003.tif,181,179-181,THE CRUSADE OF CRIPPLES,,,,"Chesterton, G. K.",Living Age,290,,07.15,1916,,,G. K. Chesterton
